tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",SRSF2,6427,1052,3,0.0028517110266159697,41,0.03897338403041825,347,0.32984790874524716,160,0.1520912547528517,2,0.0019011406844106464,550,0.5228136882129277,551,0.5237642585551331,1,548,2
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",ZRSR2,8233,1052,0,0.0,7,0.006653992395437262,173,0.1644486692015209,191,0.18155893536121673,2,0.0019011406844106464,373,0.35456273764258556,373,0.35456273764258556,0,373,0
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",RBM10,8241,1052,8,0.0076045627376425855,13,0.012357414448669201,167,0.15874524714828897,179,0.17015209125475286,1,0.0009505703422053232,360,0.34220532319391633,366,0.34790874524714827,6,358,2
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",PRPF8,10594,1052,11,0.010456273764258554,2,0.0019011406844106464,71,0.06749049429657794,606,0.5760456273764258,3,0.0028517110266159697,682,0.6482889733840305,688,0.6539923954372624,6,677,5
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",LUC7L2,51631,1052,0,0.0,6,0.005703422053231939,285,0.2709125475285171,144,0.13688212927756654,2,0.0019011406844106464,437,0.41539923954372626,437,0.41539923954372626,0,437,0
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",DDX3X,1654,1052,8,0.0076045627376425855,3,0.0028517110266159697,153,0.14543726235741444,199,0.18916349809885932,3,0.0028517110266159697,358,0.3403041825095057,362,0.344106463878327,4,354,4
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",SUGP1,57794,1052,9,0.008555133079847909,8,0.0076045627376425855,208,0.19771863117870722,196,0.18631178707224336,2,0.0019011406844106464,414,0.3935361216730038,419,0.3982889733840304,5,410,4
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",PHF5A,84844,1052,0,0.0,1,0.0009505703422053232,116,0.11026615969581749,478,0.4543726235741445,1,0.0009505703422053232,596,0.5665399239543726,596,0.5665399239543726,0,596,0
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",RBM39,9584,1052,6,0.005703422053231939,23,0.021863117870722433,437,0.41539923954372626,58,0.055133079847908745,0,0.0,518,0.4923954372623574,521,0.49524714828897337,3,515,3
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",HNRNPK,3190,1052,8,0.0076045627376425855,2,0.0019011406844106464,130,0.12357414448669202,285,0.2709125475285171,1,0.0009505703422053232,418,0.3973384030418251,423,0.40209125475285173,5,415,3
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",FUBP1,8880,1052,4,0.0038022813688212928,13,0.012357414448669201,139,0.13212927756653992,317,0.30133079847908745,0,0.0,469,0.4458174904942966,472,0.44866920152091255,3,468,1
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",SF3B1,23451,287,2,0.006968641114982578,3,0.010452961672473868,45,0.156794425087108,45,0.156794425087108,1,0.003484320557491289,94,0.32752613240418116,96,0.3344947735191638,2,94,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",SF3A1,10291,287,1,0.003484320557491289,2,0.006968641114982578,36,0.1254355400696864,63,0.21951219512195122,0,0.0,101,0.3519163763066202,102,0.3554006968641115,1,101,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",U2AF1,7307,287,2,0.006968641114982578,2,0.006968641114982578,37,0.1289198606271777,53,0.18466898954703834,1,0.003484320557491289,93,0.3240418118466899,95,0.3310104529616725,2,93,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",U2AF2,11338,287,2,0.006968641114982578,3,0.010452961672473868,91,0.3170731707317073,27,0.09407665505226481,0,0.0,121,0.42160278745644597,121,0.42160278745644597,0,119,2
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",SRSF2,6427,287,4,0.013937282229965157,5,0.017421602787456445,62,0.21602787456445993,35,0.12195121951219512,2,0.006968641114982578,104,0.3623693379790941,106,0.3693379790940767,2,102,2
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",ZRSR2,8233,287,1,0.003484320557491289,3,0.010452961672473868,47,0.16376306620209058,62,0.21602787456445993,1,0.003484320557491289,113,0.39372822299651566,113,0.39372822299651566,0,112,1
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",RBM10,8241,287,5,0.017421602787456445,3,0.010452961672473868,35,0.12195121951219512,66,0.22996515679442509,2,0.006968641114982578,106,0.3693379790940767,108,0.37630662020905925,2,103,3
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",PRPF8,10594,287,7,0.024390243902439025,0,0.0,18,0.0627177700348432,98,0.34146341463414637,3,0.010452961672473868,119,0.4146341463414634,124,0.43205574912891986,5,117,2
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",LUC7L2,51631,287,0,0.0,0,0.0,37,0.1289198606271777,56,0.1951219512195122,0,0.0,93,0.3240418118466899,93,0.3240418118466899,0,93,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",DDX3X,1654,287,13,0.04529616724738676,2,0.006968641114982578,36,0.1254355400696864,67,0.23344947735191637,2,0.006968641114982578,107,0.37282229965156793,118,0.41114982578397213,11,105,2
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",SUGP1,57794,287,2,0.006968641114982578,1,0.003484320557491289,36,0.1254355400696864,68,0.23693379790940766,2,0.006968641114982578,107,0.37282229965156793,109,0.3797909407665505,2,107,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",PHF5A,84844,287,0,0.0,2,0.006968641114982578,31,0.10801393728222997,80,0.2787456445993031,1,0.003484320557491289,114,0.397212543554007,114,0.397212543554007,0,114,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",RBM39,9584,287,3,0.010452961672473868,5,0.017421602787456445,123,0.42857142857142855,7,0.024390243902439025,0,0.0,135,0.47038327526132406,136,0.4738675958188153,1,133,2
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",HNRNPK,3190,287,3,0.010452961672473868,0,0.0,49,0.17073170731707318,54,0.18815331010452963,1,0.003484320557491289,104,0.3623693379790941,107,0.37282229965156793,3,104,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",FUBP1,8880,287,4,0.013937282229965157,1,0.003484320557491289,87,0.30313588850174217,21,0.07317073170731707,0,0.0,109,0.3797909407665505,112,0.3902439024390244,3,108,1
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",SF3B1,23451,36,1,0.027777777777777776,0,0.0,6,0.16666666666666666,3,0.08333333333333333,0,0.0,9,0.25,10,0.2777777777777778,1,9,0
