geneSymbol,rank,tumour_acronym,N,any_alter_freq,mut_freq,any_cna_freq,amp_freq,deep_del_freq
RBM39,2,COADREAD,532,0.7819548872180451,0.011278195488721804,0.7725563909774437,0.07330827067669173,0.0018796992481203006
RBM39,3,ESCA,182,0.6978021978021978,0.0,0.6978021978021978,0.03296703296703297,0.0
RBM39,4,STAD,434,0.6497695852534562,0.013824884792626729,0.6451612903225806,0.02534562211981567,0.0
RBM39,5,BLCA,407,0.628992628992629,0.022113022113022112,0.6265356265356266,0.0171990171990172,0.0
HNRNPK,1,UCS,56,0.7857142857142857,0.0,0.7857142857142857,0.0,0.0
HNRNPK,2,LUSC,484,0.6590909090909091,0.002066115702479339,0.6590909090909091,0.0,0.004132231404958678
HNRNPK,3,OV,511,0.6203522504892368,0.0,0.6203522504892368,0.007827788649706457,0.0
HNRNPK,4,BLCA,407,0.5921375921375921,0.022113022113022112,0.5847665847665847,0.002457002457002457,0.004914004914004914
HNRNPK,5,SKCM,363,0.5730027548209367,0.03581267217630854,0.5564738292011019,0.0,0.0
FUBP1,1,KICH,65,0.8153846153846154,0.015384615384615385,0.8153846153846154,0.0,0.0
FUBP1,2,PCPG,161,0.7329192546583851,0.0,0.7329192546583851,0.0,0.024844720496894408
FUBP1,3,LUSC,484,0.5371900826446281,0.012396694214876033,0.5351239669421488,0.002066115702479339,0.002066115702479339
FUBP1,4,LUAD,511,0.5107632093933464,0.01761252446183953,0.5009784735812133,0.007827788649706457,0.007827788649706457
FUBP1,5,UCS,56,0.5,0.0,0.5,0.0,0.0
